ablation,group,alias_of,num_queries,nDCG,precision,recall,F1,AP,NNT1,NNT2
E1a_text_only,E1,,649,0.4102,0.1371,0.1371,0.1371,0.0429,0.1371,0.1371
E1_view_only,E1,,649,0.5524,0.2572,0.2572,0.2572,0.1508,0.2572,0.2572
E1_shape_only,E1,,649,0.5437,0.2383,0.2383,0.2383,0.1428,0.2383,0.2383
E1c_full_fusion,E1,,649,0.5945,0.2819,0.2819,0.2819,0.1646,0.2819,0.2819
E2_chamfer_ransac,E2,,649,0.6434,0.2826,0.2826,0.2826,0.1719,0.2826,0.2826
